stratum;full_area;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Bear Island Thench;27565;27565;26910;27565;27345;27565;27560;27565;25960;26636;27565;22737;27559;27483;24539;27558;27565;24605;27511
Central Bank;22939;20723;22939;22939;22939;22939;22939;22939;22939;22939;22939;22939;22939;22939;22939;22939;19975;22939;13546
Fr.Victoria Trough;37085;15479;25;32927;23974;18582;6760;11936;21124;22714;37085;24801;1193;21264;24271;20687;23107;18060;24305
Great Bank;26863;7370;10928;26863;23329;19819;22169;19630;26234;20520;26863;21163;16483;20897;20800;18012;18930;20239;16820
Hopen Deep;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486;16486
North East;62544;735;34554;35420;24131;44112;30105;28543;22334;28846;62544;18207;22360;39221;27937;3750;1279;7672;0
Pechora;63174;38269;48520;52182;42331;49723;53087;51496;51363;52470;63174;53168;51606;51003;42570;36263;0;50756;0
South East;30752;24625;26594;26308;24158;25224;26648;26460;25960;26405;30752;25748;25894;26003;637;18030;7470;26038;557
South West;38238;36161;35107;38211;33416;37511;37609;37644;36419;36186;38238;33194;34543;37475;32541;37481;35878;33440;32251
Southeastern Basin;30035;10419;30035;30035;30035;30035;30035;30035;30035;30035;30035;30035;30035;30035;21757;20704;0;30035;0
Svalbard North;26856;24375;12923;24572;26543;25397;20672;24105;24563;25075;26856;24737;17680;24833;22786;24257;25782;19365;26271
Svalbard South;37036;37036;36662;34952;34165;36731;36640;37036;34973;33627;37036;33873;35421;34676;32059;35064;35331;33028;34996
Thor Iversen Bank;19938;19936;19938;19938;19938;19938;19938;19938;19938;19938;19938;19938;19938;19938;18948;19938;15401;19938;14964
Fr.Joseph Land;43528;0;0;4928;0;0;0;0;0;0;43528;0;0;0;0;0;0;0;0
St.Anna Trough;15396;0;0;0;0;0;0;0;0;0;15396;0;0;560;0;0;0;0;0